elapsed_time,unique_edges,total_execs,crash_count,hang_count,exec_speed,queue_size,last_new_find,last_crash,last_hang
0.00,0,0,0,0,0.00,0,0.00,0.00,0.00
11.48,2078,2663,0,0,231.93,82,10.80,0.00,0.00
21.62,2120,5006,0,0,231.50,101,21.57,0.00,0.00
31.68,2137,7352,0,0,232.07,109,31.47,0.00,0.00
41.80,2143,9664,0,0,231.21,113,40.67,0.00,0.00
51.92,2156,11976,0,0,230.68,117,51.63,0.00,0.00
62.04,2226,14358,0,0,231.42,125,60.33,0.00,0.00
72.11,2232,16714,0,0,231.79,129,72.09,0.00,0.00
82.23,2246,19070,0,0,231.90,133,79.38,0.00,0.00
92.28,2250,21426,0,0,232.17,135,90.20,0.00,0.00
102.29,2257,23751,0,0,232.18,139,100.65,0.00,0.00
112.30,2266,26076,0,0,232.20,141,110.13,0.00,0.00
122.38,2269,28432,0,0,232.32,144,117.29,0.00,0.00
132.41,2321,30761,0,0,232.32,154,131.49,0.00,0.00
142.44,2349,33113,0,0,232.46,158,136.82,0.00,0.00
152.48,2368,35465,0,0,232.59,164,150.73,0.00,0.00
162.56,2370,37817,0,0,232.63,166,161.93,0.00,0.00
172.57,2386,40169,0,0,232.76,168,169.09,0.00,0.00
182.60,2390,42521,0,0,232.86,171,182.54,0.00,0.00
192.68,2393,44873,0,0,232.89,174,185.71,0.00,0.00
202.71,2395,47225,0,0,232.97,176,200.00,0.00,0.00
212.78,2398,49353,0,0,231.95,179,212.71,0.00,0.00
225.95,2647,51940,0,0,229.87,224,224.97,0.00,0.00
236.10,2647,53980,0,0,228.63,224,224.97,0.00,0.00
246.12,2649,55750,0,0,226.51,225,240.44,0.00,0.00
256.13,2649,57520,0,0,224.57,225,240.44,0.00,0.00
266.13,2650,59290,0,0,222.78,226,257.91,0.00,0.00
276.21,2650,61090,0,0,221.17,226,257.91,0.00,0.00
286.32,2651,62890,0,0,219.65,227,283.75,0.00,0.00
296.37,2651,64690,0,0,218.28,227,283.75,0.00,0.00
306.41,2652,66460,0,0,216.90,228,301.93,0.00,0.00
316.57,2658,68230,0,0,215.53,229,309.04,0.00,0.00
326.59,2658,70030,0,0,214.43,229,309.04,0.00,0.00
336.67,2658,71830,0,0,213.36,229,309.04,0.00,0.00
346.78,2658,73630,0,0,212.32,229,309.04,0.00,0.00
356.90,2658,75460,0,0,211.43,229,309.04,0.00,0.00
367.04,2658,77290,0,0,210.57,229,309.04,0.00,0.00
377.07,2658,79060,0,0,209.67,229,309.04,0.00,0.00
387.13,2658,80890,0,0,208.95,229,309.04,0.00,0.00
397.19,2659,82720,0,0,208.26,230,393.73,0.00,0.00
407.21,2659,84520,0,0,207.56,230,393.73,0.00,0.00
417.30,2659,86350,0,0,206.93,230,393.73,0.00,0.00
427.35,2660,88210,0,0,206.41,231,424.71,0.00,0.00
437.52,2664,90100,0,0,205.93,233,431.30,0.00,0.00
447.61,2664,91930,0,0,205.38,233,431.30,0.00,0.00
457.67,2664,93790,0,0,204.93,233,431.30,0.00,0.00
467.71,2665,95620,0,0,204.44,234,460.19,0.00,0.00
477.86,2665,97480,0,0,203.99,234,460.19,0.00,0.00
488.00,2669,99340,0,0,203.56,236,480.93,0.00,0.00
498.15,2669,101200,0,0,203.15,236,480.93,0.00,0.00
508.16,2669,103060,0,0,202.81,236,480.93,0.00,0.00
518.26,2669,104920,0,0,202.45,236,480.93,0.00,0.00
528.35,2669,106750,0,0,202.04,236,480.93,0.00,0.00
538.36,2669,108580,0,0,201.69,236,480.93,0.00,0.00
548.47,2669,110410,0,0,201.30,236,480.93,0.00,0.00
558.51,2669,112210,0,0,200.91,236,480.93,0.00,0.00
568.53,2670,114010,0,0,200.53,237,561.63,0.00,0.00
578.54,2670,115780,0,0,200.12,237,561.63,0.00,0.00
588.57,2670,117610,0,0,199.82,237,561.63,0.00,0.00
598.66,2670,119440,0,0,199.51,237,561.63,0.00,0.00
628.79,2670,124810,0,0,198.49,237,561.63,0.00,0.00
658.82,2670,130150,0,0,197.55,237,561.63,0.00,0.00
688.96,2670,135550,0,0,196.75,237,561.63,0.00,0.00
719.01,2680,140920,0,0,195.99,239,706.72,0.00,0.00
749.16,2680,146156,0,0,195.09,239,706.72,0.00,0.00
779.31,2681,151646,0,0,194.59,240,760.24,0.00,0.00
809.40,2681,157196,0,0,194.21,240,760.24,0.00,0.00
839.54,2681,162776,0,0,193.89,240,760.24,0.00,0.00
869.62,2681,168326,0,0,193.56,240,760.24,0.00,0.00
899.76,2681,173846,0,0,193.21,240,760.24,0.00,0.00
929.81,2681,179336,0,0,192.87,240,760.24,0.00,0.00
959.81,2682,184886,0,0,192.63,241,935.97,0.00,0.00
989.87,2682,190406,0,0,192.35,241,935.97,0.00,0.00
1019.96,2682,195926,0,0,192.09,241,935.97,0.00,0.00
