elapsed_time,unique_edges,total_execs,crash_count,hang_count,exec_speed,queue_size,last_new_find,last_crash,last_hang
0.00,0,0,0,0,0.00,0,0.00,0.00,0.00
13.36,1640,2393,0,0,179.18,187,12.98,0.00,0.00
23.37,1666,3906,0,0,167.13,208,23.13,0.00,0.00
33.51,1669,5526,0,0,164.90,211,32.15,0.00,0.00
43.53,1684,7146,0,0,164.15,219,42.61,0.00,0.00
53.55,1686,8802,0,0,164.37,221,52.44,0.00,0.00
63.58,1689,10458,0,0,164.49,224,61.00,0.00,0.00
73.71,1695,12114,0,0,164.34,230,72.27,0.00,0.00
83.81,1698,13752,0,0,164.09,233,79.26,0.00,0.00
93.87,1702,15390,0,0,163.94,237,92.50,0.00,0.00
103.89,1709,17046,0,0,164.08,238,102.20,0.00,0.00
114.06,1709,18684,0,0,163.81,238,102.20,0.00,0.00
124.18,1711,20376,0,0,164.09,240,119.86,0.00,0.00
134.34,1711,22050,0,0,164.14,240,119.86,0.00,0.00
144.52,1712,23670,0,0,163.78,241,141.55,0.00,0.00
154.61,1721,25308,0,0,163.69,244,147.07,0.00,0.00
164.68,1723,26964,0,0,163.74,246,162.50,0.00,0.00
174.72,1725,28620,0,0,163.81,247,168.06,0.00,0.00
184.86,1726,30348,0,0,164.16,248,175.72,0.00,0.00
194.93,1726,32004,0,0,164.18,248,175.72,0.00,0.00
205.04,1727,33642,0,0,164.07,249,197.04,0.00,0.00
215.24,1727,35298,0,0,163.99,249,197.04,0.00,0.00
225.25,1728,36954,0,0,164.06,250,219.58,0.00,0.00
235.26,1729,38628,0,0,164.20,251,230.40,0.00,0.00
245.35,1730,40320,0,0,164.33,252,236.90,0.00,0.00
255.41,1730,41994,0,0,164.42,252,236.90,0.00,0.00
265.50,1730,43632,0,0,164.34,252,236.90,0.00,0.00
275.52,1730,45234,0,0,164.18,252,236.90,0.00,0.00
285.70,1730,46890,0,0,164.12,252,236.90,0.00,0.00
295.72,1730,48564,0,0,164.22,252,236.90,0.00,0.00
305.88,1748,50214,0,0,164.16,260,304.21,0.00,0.00
315.97,1751,51852,0,0,164.10,263,312.56,0.00,0.00
326.07,1751,53492,0,0,164.05,263,312.56,0.00,0.00
336.25,1752,55176,0,0,164.09,264,334.53,0.00,0.00
346.37,1753,56784,0,0,163.94,265,345.41,0.00,0.00
356.50,1754,58422,0,0,163.88,266,348.35,0.00,0.00
366.60,1755,60030,0,0,163.75,267,364.05,0.00,0.00
376.72,1755,61640,0,0,163.62,267,364.05,0.00,0.00
386.78,1755,63248,0,0,163.52,267,364.05,0.00,0.00
396.87,1755,64928,0,0,163.60,267,364.05,0.00,0.00
406.96,1756,66538,0,0,163.50,268,397.92,0.00,0.00
417.05,1756,68192,0,0,163.51,268,397.92,0.00,0.00
427.21,1757,69816,0,0,163.42,269,421.01,0.00,0.00
437.36,1757,71456,0,0,163.38,269,421.01,0.00,0.00
447.53,1757,73048,0,0,163.22,269,421.01,0.00,0.00
457.66,1757,74714,0,0,163.25,269,421.01,0.00,0.00
467.68,1757,76336,0,0,163.22,269,421.01,0.00,0.00
477.78,1757,77944,0,0,163.14,269,421.01,0.00,0.00
487.83,1758,79594,0,0,163.16,270,484.27,0.00,0.00
497.89,1758,81216,0,0,163.12,270,484.27,0.00,0.00
507.97,1758,82838,0,0,163.08,270,484.27,0.00,0.00
518.11,1758,84490,0,0,163.07,270,484.27,0.00,0.00
528.22,1768,86098,0,0,163.00,272,523.75,0.00,0.00
538.23,1768,87646,0,0,162.84,272,523.75,0.00,0.00
548.26,1768,89238,0,0,162.77,272,523.75,0.00,0.00
558.30,1768,90846,0,0,162.72,272,523.75,0.00,0.00
568.36,1768,92438,0,0,162.64,272,523.75,0.00,0.00
578.46,1768,94030,0,0,162.55,272,523.75,0.00,0.00
588.54,1768,95636,0,0,162.50,272,523.75,0.00,0.00
598.71,1768,97272,0,0,162.47,272,523.75,0.00,0.00
628.77,1768,101990,0,0,162.21,272,523.75,0.00,0.00
658.94,1768,106758,0,0,162.01,272,523.75,0.00,0.00
688.96,1768,111642,0,0,162.04,272,523.75,0.00,0.00
718.99,1768,116432,0,0,161.94,272,523.75,0.00,0.00
749.06,1769,121224,0,0,161.83,273,748.81,0.00,0.00
779.09,1771,126034,0,0,161.77,275,768.05,0.00,0.00
809.21,1771,130954,0,0,161.83,275,768.05,0.00,0.00
839.30,1771,135820,0,0,161.82,275,768.05,0.00,0.00
869.35,1771,140616,0,0,161.75,275,768.05,0.00,0.00
899.54,1771,145454,0,0,161.70,275,768.05,0.00,0.00
929.59,1771,150398,0,0,161.79,275,768.05,0.00,0.00
959.68,1772,155190,0,0,161.71,276,942.92,0.00,0.00
989.83,1772,160014,0,0,161.66,276,942.92,0.00,0.00
1019.91,1772,164892,0,0,161.67,276,942.92,0.00,0.00
1050.02,1772,169774,0,0,161.69,276,942.92,0.00,0.00
1080.05,1772,174610,0,0,161.67,276,942.92,0.00,0.00
1110.11,1772,179480,0,0,161.68,276,942.92,0.00,0.00
1140.18,1773,184350,0,0,161.69,277,1140.07,0.00,0.00
1170.23,1773,189310,0,0,161.77,277,1140.07,0.00,0.00
1200.31,1773,194226,0,0,161.81,277,1140.07,0.00,0.00
1230.38,1773,199004,0,0,161.74,277,1140.07,0.00,0.00
1260.52,1773,203870,0,0,161.74,277,1140.07,0.00,0.00
1290.65,1773,208712,0,0,161.71,277,1140.07,0.00,0.00
1320.70,1773,213510,0,0,161.66,277,1140.07,0.00,0.00
1350.81,1773,218394,0,0,161.68,277,1140.07,0.00,0.00
1380.85,1773,223248,0,0,161.67,277,1140.07,0.00,0.00
1411.01,1773,228076,0,0,161.64,277,1140.07,0.00,0.00
1441.10,1773,232804,0,0,161.55,277,1140.07,0.00,0.00
1471.21,1773,237586,0,0,161.49,277,1140.07,0.00,0.00
1501.25,1774,242396,0,0,161.46,278,1472.07,0.00,0.00
1531.33,1774,247248,0,0,161.46,278,1472.07,0.00,0.00
1561.40,1774,252022,0,0,161.41,278,1472.07,0.00,0.00
1591.53,1774,256830,0,0,161.37,278,1472.07,0.00,0.00
1621.58,1774,261714,0,0,161.39,278,1472.07,0.00,0.00
1651.68,1774,266566,0,0,161.39,278,1472.07,0.00,0.00
1681.82,1774,271482,0,0,161.42,278,1472.07,0.00,0.00
1711.95,1774,276322,0,0,161.41,278,1472.07,0.00,0.00
