elapsed_time,unique_edges,total_execs,crash_count,hang_count,exec_speed,queue_size,last_new_find,last_crash,last_hang
0.00,0,0,0,0,0.00,0,0.00,0.00,0.00
13.71,2105,2458,0,0,179.22,70,12.05,0.00,0.00
26.30,4771,4505,0,0,171.32,135,25.81,0.00,0.00
43.70,5799,7320,0,0,167.52,217,43.47,0.00,0.00
59.91,7412,9733,0,0,162.47,319,59.12,0.00,0.00
73.29,8903,11716,0,0,159.86,373,73.28,0.00,0.00
83.29,8903,11716,0,0,140.66,373,73.28,0.00,0.00
93.29,8903,11716,0,0,125.59,373,73.28,0.00,0.00
103.29,8903,11716,0,0,113.43,373,73.28,0.00,0.00
113.29,8903,11716,0,0,103.42,373,73.28,0.00,0.00
123.29,8903,11716,0,0,95.03,373,73.28,0.00,0.00
133.29,8903,11716,0,0,87.90,373,73.28,0.00,0.00
143.29,8903,11716,0,0,81.76,373,73.28,0.00,0.00
153.29,8903,11716,0,0,76.43,373,73.28,0.00,0.00
163.29,8903,11716,0,0,71.75,373,73.28,0.00,0.00
173.29,8903,11716,0,0,67.61,373,73.28,0.00,0.00
183.29,8903,11716,0,0,63.92,373,73.28,0.00,0.00
193.29,8903,11716,0,0,60.61,373,73.28,0.00,0.00
203.29,8903,11716,0,0,57.63,373,73.28,0.00,0.00
213.29,8903,11716,0,0,54.93,373,73.28,0.00,0.00
223.29,8903,11716,0,0,52.47,373,73.28,0.00,0.00
233.29,8903,11716,0,0,50.22,373,73.28,0.00,0.00
243.29,8903,11716,0,0,48.16,373,73.28,0.00,0.00
253.29,8903,11716,0,0,46.26,373,73.28,0.00,0.00
263.29,8903,11716,0,0,44.50,373,73.28,0.00,0.00
273.29,8903,11716,0,0,42.87,373,73.28,0.00,0.00
283.29,8903,11716,0,0,41.36,373,73.28,0.00,0.00
293.29,8903,11716,0,0,39.95,373,73.28,0.00,0.00
303.29,8903,11716,0,0,38.63,373,73.28,0.00,0.00
313.29,8903,11716,0,0,37.40,373,73.28,0.00,0.00
323.29,8903,11716,0,0,36.24,373,73.28,0.00,0.00
333.29,8903,11716,0,0,35.15,373,73.28,0.00,0.00
343.29,8903,11716,0,0,34.13,373,73.28,0.00,0.00
353.29,8903,11716,0,0,33.16,373,73.28,0.00,0.00
363.29,8903,11716,0,0,32.25,373,73.28,0.00,0.00
373.29,8903,11716,0,0,31.39,373,73.28,0.00,0.00
383.29,8903,11716,0,0,30.57,373,73.28,0.00,0.00
393.29,8903,11716,0,0,29.79,373,73.28,0.00,0.00
403.29,8903,11716,0,0,29.05,373,73.28,0.00,0.00
