elapsed_time,unique_edges,total_execs,crash_count,hang_count,exec_speed,queue_size,last_new_find,last_crash,last_hang
0.00,0,0,0,0,0.00,0,0.00,0.00,0.00
10.05,1625,1745,0,0,173.70,140,9.73,0.00,0.00
23.03,1716,3967,0,0,172.29,180,23.01,0.00,0.00
37.41,2012,6535,0,0,174.68,225,37.27,0.00,0.00
47.45,2045,8328,0,0,175.50,237,47.31,0.00,0.00
57.47,2070,10120,0,0,176.08,245,57.35,0.00,0.00
67.51,2086,11716,0,0,173.54,250,65.61,0.00,0.00
77.65,2148,13575,0,0,174.82,255,75.89,0.00,0.00
87.68,2165,15135,0,0,172.63,259,87.48,0.00,0.00
97.70,2170,16685,0,0,170.78,261,96.56,0.00,0.00
107.74,2172,18869,0,0,175.13,262,101.14,0.00,0.00
117.83,2175,21053,0,0,178.68,265,111.70,0.00,0.00
127.89,2205,23237,0,0,181.70,269,126.02,0.00,0.00
138.01,2223,25239,0,0,182.88,273,135.85,0.00,0.00
148.03,2226,27319,0,0,184.55,274,138.35,0.00,0.00
158.10,2233,29077,0,0,183.92,275,148.14,0.00,0.00
168.12,2235,30637,0,0,182.23,276,167.85,0.00,0.00
178.13,2235,32171,0,0,180.60,276,167.85,0.00,0.00
188.24,2289,33777,0,0,179.44,282,188.21,0.00,0.00
198.31,2295,35337,0,0,178.19,285,197.64,0.00,0.00
208.39,2297,36769,0,0,176.44,287,208.36,0.00,0.00
218.40,2335,38153,0,0,174.69,288,210.84,0.00,0.00
228.44,2361,39465,0,0,172.75,290,225.94,0.00,0.00
238.56,2366,41073,0,0,172.17,292,238.23,0.00,0.00
248.57,2390,42581,0,0,171.31,301,245.38,0.00,0.00
258.71,2391,43954,0,0,169.90,302,257.96,0.00,0.00
268.86,2396,45426,0,0,168.96,305,266.16,0.00,0.00
279.08,2399,46762,0,0,167.56,307,277.88,0.00,0.00
289.15,2401,48303,0,0,167.05,309,285.87,0.00,0.00
299.21,2413,49844,0,0,166.59,315,297.56,0.00,0.00
309.33,2413,51408,0,0,166.19,315,297.56,0.00,0.00
319.42,2413,52827,0,0,165.39,315,297.56,0.00,0.00
329.47,2413,54391,0,0,165.09,315,297.56,0.00,0.00
339.52,2413,55856,0,0,164.51,315,297.56,0.00,0.00
349.53,2413,57397,0,0,164.21,315,297.56,0.00,0.00
359.55,2414,58869,0,0,163.73,316,357.83,0.00,0.00
369.63,2415,60364,0,0,163.31,317,364.81,0.00,0.00
379.67,2415,61829,0,0,162.85,317,364.81,0.00,0.00
389.69,2415,63485,0,0,162.91,317,364.81,0.00,0.00
399.79,2415,65065,0,0,162.75,317,364.81,0.00,0.00
409.84,2416,66698,0,0,162.74,318,400.62,0.00,0.00
419.87,2416,68347,0,0,162.78,318,400.62,0.00,0.00
429.87,2416,70003,0,0,162.85,318,400.62,0.00,0.00
439.89,2416,71452,0,0,162.43,318,400.62,0.00,0.00
450.03,2416,72809,0,0,161.79,318,400.62,0.00,0.00
460.14,2416,74235,0,0,161.33,318,400.62,0.00,0.00
470.24,2417,75707,0,0,161.00,319,463.51,0.00,0.00
480.48,2417,77294,0,0,160.87,319,463.51,0.00,0.00
490.55,2417,78844,0,0,160.72,319,463.51,0.00,0.00
500.62,2417,80263,0,0,160.33,319,463.51,0.00,0.00
510.70,2417,81613,0,0,159.81,319,463.51,0.00,0.00
520.76,2417,83246,0,0,159.85,319,463.51,0.00,0.00
530.76,2417,84649,0,0,159.49,319,463.51,0.00,0.00
540.86,2417,86213,0,0,159.40,319,463.51,0.00,0.00
551.01,2417,87678,0,0,159.12,319,463.51,0.00,0.00
561.14,2417,89212,0,0,158.98,319,463.51,0.00,0.00
571.21,2417,90730,0,0,158.84,319,463.51,0.00,0.00
581.33,2425,92294,0,0,158.76,321,575.96,0.00,0.00
591.46,2425,93713,0,0,158.44,321,575.96,0.00,0.00
621.52,2425,98543,0,0,158.55,321,575.96,0.00,0.00
651.53,2426,103182,0,0,158.37,322,624.90,0.00,0.00
681.57,2433,107591,0,0,157.86,324,677.60,0.00,0.00
711.61,2443,112398,0,0,157.95,325,698.45,0.00,0.00
741.63,2445,116722,0,0,157.39,326,726.42,0.00,0.00
771.65,2458,121216,0,0,157.09,328,765.69,0.00,0.00
801.73,2458,125526,0,0,156.57,328,765.69,0.00,0.00
831.75,2458,130218,0,0,156.56,328,765.69,0.00,0.00
861.84,2459,135071,0,0,156.72,329,855.19,0.00,0.00
891.99,2459,139855,0,0,156.79,329,855.19,0.00,0.00
