elapsed_time,unique_edges,total_execs,crash_count,hang_count,exec_speed,queue_size,last_new_find,last_crash,last_hang
0.00,0,0,0,0,0.00,0,0.00,0.00,0.00
14.17,910,2480,0,0,174.99,77,11.70,0.00,0.00
24.27,987,4266,0,0,175.77,82,20.84,0.00,0.00
34.28,992,6036,0,0,176.08,84,27.41,0.00,0.00
44.37,993,7836,0,0,176.59,85,38.48,0.00,0.00
54.46,993,9636,0,0,176.93,85,38.48,0.00,0.00
64.62,994,11406,0,0,176.50,86,64.04,0.00,0.00
74.72,994,13176,0,0,176.34,86,64.04,0.00,0.00
84.83,994,14976,0,0,176.53,86,64.04,0.00,0.00
94.91,995,16806,0,0,177.08,87,93.65,0.00,0.00
105.02,996,18606,0,0,177.16,88,104.96,0.00,0.00
115.16,996,20436,0,0,177.46,88,104.96,0.00,0.00
125.21,996,22236,0,0,177.60,88,104.96,0.00,0.00
135.37,996,24066,0,0,177.78,88,104.96,0.00,0.00
145.50,996,25926,0,0,178.19,88,104.96,0.00,0.00
155.61,996,27786,0,0,178.56,88,104.96,0.00,0.00
165.71,996,29646,0,0,178.91,88,104.96,0.00,0.00
175.82,996,31506,0,0,179.20,88,104.96,0.00,0.00
185.98,997,33396,0,0,179.57,89,185.26,0.00,0.00
196.03,997,35256,0,0,179.85,89,185.26,0.00,0.00
206.07,997,37056,0,0,179.82,89,185.26,0.00,0.00
216.19,997,38916,0,0,180.01,89,185.26,0.00,0.00
226.23,997,40776,0,0,180.24,89,185.26,0.00,0.00
236.35,997,42636,0,0,180.39,89,185.26,0.00,0.00
246.44,997,44496,0,0,180.56,89,185.26,0.00,0.00
256.56,997,46326,0,0,180.57,89,185.26,0.00,0.00
266.58,997,48156,0,0,180.65,89,185.26,0.00,0.00
276.72,997,50016,0,0,180.75,89,185.26,0.00,0.00
286.88,997,51876,0,0,180.83,89,185.26,0.00,0.00
297.03,997,53736,0,0,180.91,89,185.26,0.00,0.00
307.08,997,55536,0,0,180.85,89,185.26,0.00,0.00
317.20,997,57336,0,0,180.75,89,185.26,0.00,0.00
327.34,997,59166,0,0,180.75,89,185.26,0.00,0.00
337.38,997,60966,0,0,180.70,89,185.26,0.00,0.00
347.38,997,62736,0,0,180.60,89,185.26,0.00,0.00
357.50,997,64536,0,0,180.52,89,185.26,0.00,0.00
367.55,997,66336,0,0,180.48,89,185.26,0.00,0.00
377.69,997,68136,0,0,180.40,89,185.26,0.00,0.00
387.78,997,69936,0,0,180.35,89,185.26,0.00,0.00
397.91,997,71706,0,0,180.21,89,185.26,0.00,0.00
408.07,997,73506,0,0,180.13,89,185.26,0.00,0.00
418.12,997,75246,0,0,179.96,89,185.26,0.00,0.00
428.13,997,77046,0,0,179.96,89,185.26,0.00,0.00
438.21,997,78846,0,0,179.93,89,185.26,0.00,0.00
448.31,997,80676,0,0,179.95,89,185.26,0.00,0.00
458.33,997,82476,0,0,179.95,89,185.26,0.00,0.00
468.37,997,84276,0,0,179.93,89,185.26,0.00,0.00
478.40,997,86076,0,0,179.92,89,185.26,0.00,0.00
488.51,997,87816,0,0,179.76,89,185.26,0.00,0.00
498.64,997,89586,0,0,179.66,89,185.26,0.00,0.00
508.78,997,91386,0,0,179.62,89,185.26,0.00,0.00
518.84,997,93186,0,0,179.61,89,185.26,0.00,0.00
528.95,997,95046,0,0,179.69,89,185.26,0.00,0.00
539.03,997,96936,0,0,179.84,89,185.26,0.00,0.00
549.04,997,98796,0,0,179.94,89,185.26,0.00,0.00
559.13,997,100656,0,0,180.02,89,185.26,0.00,0.00
569.26,997,102516,0,0,180.09,89,185.26,0.00,0.00
579.35,997,104376,0,0,180.16,89,185.26,0.00,0.00
589.51,997,106266,0,0,180.26,89,185.26,0.00,0.00
599.65,997,108126,0,0,180.32,89,185.26,0.00,0.00
629.72,997,113676,0,0,180.52,89,185.26,0.00,0.00
659.73,997,119226,0,0,180.72,89,185.26,0.00,0.00
689.88,997,124806,0,0,180.91,89,185.26,0.00,0.00
719.98,997,130386,0,0,181.10,89,185.26,0.00,0.00
750.05,997,135906,0,0,181.20,89,185.26,0.00,0.00
780.20,997,141456,0,0,181.31,89,185.26,0.00,0.00
810.25,997,147036,0,0,181.47,89,185.26,0.00,0.00
840.32,997,152586,0,0,181.58,89,185.26,0.00,0.00
870.44,997,158136,0,0,181.67,89,185.26,0.00,0.00
900.47,997,163656,0,0,181.74,89,185.26,0.00,0.00
930.52,997,169176,0,0,181.81,89,185.26,0.00,0.00
