elapsed_time,unique_edges,total_execs,crash_count,hang_count,exec_speed,queue_size,last_new_find,last_crash,last_hang
0.00,0,0,0,0,0.00,0,0.00,0.00,0.00
16.63,2157,2392,0,1,143.82,120,16.59,0.00,14.88
26.84,2177,4097,0,1,152.66,127,23.41,0.00,14.88
36.86,2188,5582,0,1,151.46,132,31.54,0.00,14.88
47.01,2195,7067,0,1,150.34,133,42.99,0.00,14.88
57.20,2196,8585,0,1,150.09,134,56.80,0.00,14.88
67.30,2196,10169,0,1,151.10,134,56.80,0.00,14.88
83.74,2203,12767,0,1,152.45,136,76.53,0.00,14.88
93.89,2203,14365,0,1,153.00,136,76.53,0.00,14.88
104.07,2203,15963,0,1,153.38,136,76.53,0.00,14.88
114.09,2203,17527,0,1,153.62,136,76.53,0.00,14.88
124.11,2203,19091,0,1,153.82,136,76.53,0.00,14.88
134.12,2203,20655,0,1,154.00,136,76.53,0.00,14.88
144.24,2203,22253,0,1,154.28,136,76.53,0.00,14.88
154.34,2203,23851,0,1,154.54,136,76.53,0.00,14.88
164.56,2203,25449,0,1,154.65,136,76.53,0.00,14.88
174.74,2203,27081,0,1,154.98,136,76.53,0.00,14.88
184.87,2204,28645,0,1,154.95,137,184.64,0.00,14.88
195.06,2204,30243,0,1,155.05,137,184.64,0.00,14.88
205.06,2204,31841,0,1,155.27,137,184.64,0.00,14.88
215.24,2204,33439,0,1,155.36,137,184.64,0.00,14.88
225.36,2204,35037,0,1,155.47,137,184.64,0.00,14.88
235.37,2204,36635,0,1,155.65,137,184.64,0.00,14.88
245.43,2204,38199,0,1,155.64,137,184.64,0.00,14.88
255.61,2204,39797,0,1,155.70,137,184.64,0.00,14.88
265.67,2204,41361,0,1,155.68,137,184.64,0.00,14.88
275.73,2205,42925,0,1,155.68,138,270.17,0.00,14.88
285.84,2205,44523,0,1,155.76,138,270.17,0.00,14.88
295.85,2205,46121,0,1,155.89,138,270.17,0.00,14.88
305.96,2205,47685,0,1,155.85,138,270.17,0.00,14.88
315.97,2205,49249,0,1,155.87,138,270.17,0.00,14.88
326.07,2205,50813,0,1,155.84,138,270.17,0.00,14.88
336.07,2205,52377,0,1,155.85,138,270.17,0.00,14.88
346.20,2205,53975,0,1,155.91,138,270.17,0.00,14.88
356.28,2205,55539,0,1,155.88,138,270.17,0.00,14.88
366.45,2205,57137,0,1,155.92,138,270.17,0.00,14.88
376.52,2205,58701,0,1,155.90,138,270.17,0.00,14.88
386.56,2205,60265,0,1,155.90,138,270.17,0.00,14.88
396.62,2205,61829,0,1,155.89,138,270.17,0.00,14.88
406.76,2205,63427,0,1,155.93,138,270.17,0.00,14.88
416.81,2205,65025,0,1,156.01,138,270.17,0.00,14.88
427.01,2205,66589,0,1,155.94,138,270.17,0.00,14.88
437.17,2205,68187,0,1,155.97,138,270.17,0.00,14.88
447.24,2205,69751,0,1,155.96,138,270.17,0.00,14.88
457.38,2205,71315,0,1,155.92,138,270.17,0.00,14.88
467.41,2205,72879,0,1,155.92,138,270.17,0.00,14.88
477.53,2205,74443,0,1,155.89,138,270.17,0.00,14.88
