elapsed_time,unique_edges,total_execs,crash_count,hang_count,exec_speed,queue_size,last_new_find,last_crash,last_hang
0.00,0,0,0,0,0.00,0,0.00,0.00,0.00
13.81,854,2778,0,0,201.23,136,13.63,0.00,0.00
26.25,958,5274,0,0,200.90,167,25.24,0.00,0.00
36.31,967,7104,0,0,195.64,175,35.03,0.00,0.00
46.38,975,8874,0,0,191.34,182,46.33,0.00,0.00
56.42,1001,10644,0,0,188.67,191,56.16,0.00,0.00
66.59,1013,12444,0,0,186.88,198,61.37,0.00,0.00
76.68,1017,14214,0,0,185.36,202,75.97,0.00,0.00
89.75,1058,16507,0,0,183.92,218,89.07,0.00,0.00
99.76,1167,18282,0,0,183.26,234,98.79,0.00,0.00
109.80,1183,20058,0,0,182.67,245,108.61,0.00,0.00
119.88,1189,21898,0,0,182.66,251,119.82,0.00,0.00
129.94,1195,23722,0,0,182.55,256,128.30,0.00,0.00
140.03,1198,25530,0,0,182.31,259,138.52,0.00,0.00
150.12,1200,27370,0,0,182.32,261,141.63,0.00,0.00
160.18,1201,29210,0,0,182.36,262,157.32,0.00,0.00
170.21,1208,31034,0,0,182.33,266,168.64,0.00,0.00
180.25,1210,32890,0,0,182.47,268,176.07,0.00,0.00
190.28,1211,34746,0,0,182.61,269,183.24,0.00,0.00
200.34,1214,36634,0,0,182.86,272,194.77,0.00,0.00
210.41,1215,38538,0,0,183.16,273,209.50,0.00,0.00
220.43,1216,40410,0,0,183.32,274,210.60,0.00,0.00
230.48,1224,42266,0,0,183.38,278,227.36,0.00,0.00
240.55,1224,44090,0,0,183.29,278,227.36,0.00,0.00
250.62,1224,45962,0,0,183.39,278,227.36,0.00,0.00
260.69,1225,47818,0,0,183.43,279,252.06,0.00,0.00
270.76,1226,49674,0,0,183.46,280,265.39,0.00,0.00
280.81,1228,51546,0,0,183.56,282,280.44,0.00,0.00
290.84,1228,53402,0,0,183.61,282,280.44,0.00,0.00
300.92,1228,55258,0,0,183.63,282,280.44,0.00,0.00
310.99,1228,57114,0,0,183.65,282,280.44,0.00,0.00
321.06,1228,59002,0,0,183.77,282,280.44,0.00,0.00
331.10,1235,60842,0,0,183.75,285,328.78,0.00,0.00
341.19,1235,62666,0,0,183.67,285,328.78,0.00,0.00
351.21,1249,64471,0,0,183.57,287,349.06,0.00,0.00
361.22,1249,66279,0,0,183.49,287,349.06,0.00,0.00
