elapsed_time,unique_edges,total_execs,crash_count,hang_count,exec_speed,queue_size,last_new_find,last_crash,last_hang
0.00,0,0,0,0,0.00,0,0.00,0.00,0.00
17.48,773,3156,0,0,180.51,61,13.85,0.00,0.00
27.61,774,4956,0,0,179.48,62,25.06,0.00,0.00
37.65,777,6796,0,0,180.52,64,30.67,0.00,0.00
47.66,796,8676,0,0,182.05,69,45.79,0.00,0.00
57.72,799,10516,0,0,182.20,70,56.27,0.00,0.00
67.94,801,12396,0,0,182.45,71,59.75,0.00,0.00
77.99,821,14236,0,0,182.53,73,77.83,0.00,0.00
88.10,827,16132,0,0,183.10,76,86.04,0.00,0.00
98.17,828,17992,0,0,183.28,77,94.14,0.00,0.00
108.19,828,19852,0,0,183.49,77,94.14,0.00,0.00
118.34,832,21742,0,0,183.72,79,116.65,0.00,0.00
128.35,833,23602,0,0,183.89,80,125.58,0.00,0.00
138.37,867,25462,0,0,184.02,81,138.08,0.00,0.00
148.39,867,27322,0,0,184.13,81,138.08,0.00,0.00
158.49,867,29212,0,0,184.31,81,138.08,0.00,0.00
168.49,870,31072,0,0,184.41,82,162.17,0.00,0.00
178.59,870,32932,0,0,184.40,82,162.17,0.00,0.00
188.63,870,34792,0,0,184.45,82,162.17,0.00,0.00
198.65,870,36652,0,0,184.50,82,162.17,0.00,0.00
208.79,870,38542,0,0,184.60,82,162.17,0.00,0.00
218.85,870,40402,0,0,184.61,82,162.17,0.00,0.00
228.91,870,42262,0,0,184.62,82,162.17,0.00,0.00
238.99,870,44152,0,0,184.75,82,162.17,0.00,0.00
249.00,870,46012,0,0,184.79,82,162.17,0.00,0.00
259.02,870,47872,0,0,184.82,82,162.17,0.00,0.00
269.13,870,49732,0,0,184.79,82,162.17,0.00,0.00
279.20,872,51592,0,0,184.78,84,273.41,0.00,0.00
289.28,872,53452,0,0,184.78,84,273.41,0.00,0.00
299.34,872,55312,0,0,184.78,84,273.41,0.00,0.00
309.51,872,57172,0,0,184.72,84,273.41,0.00,0.00
319.56,873,59032,0,0,184.73,85,310.87,0.00,0.00
329.67,873,60892,0,0,184.71,85,310.87,0.00,0.00
339.71,873,62752,0,0,184.72,85,310.87,0.00,0.00
349.84,873,64612,0,0,184.69,85,310.87,0.00,0.00
359.88,873,66472,0,0,184.71,85,310.87,0.00,0.00
370.00,873,68332,0,0,184.68,85,310.87,0.00,0.00
380.03,873,70192,0,0,184.70,85,310.87,0.00,0.00
390.08,880,72022,0,0,184.64,85,386.03,0.00,0.00
400.10,880,73882,0,0,184.66,85,386.03,0.00,0.00
410.22,880,75742,0,0,184.64,85,386.03,0.00,0.00
420.26,880,77602,0,0,184.65,85,386.03,0.00,0.00
430.37,880,79462,0,0,184.64,85,386.03,0.00,0.00
440.47,880,81322,0,0,184.62,85,386.03,0.00,0.00
450.53,880,83182,0,0,184.63,85,386.03,0.00,0.00
460.53,880,85042,0,0,184.66,85,386.03,0.00,0.00
470.57,882,86902,0,0,184.67,86,461.02,0.00,0.00
480.60,882,88762,0,0,184.69,86,461.02,0.00,0.00
490.68,884,90622,0,0,184.69,88,484.20,0.00,0.00
500.75,884,92482,0,0,184.69,88,484.20,0.00,0.00
510.83,884,94342,0,0,184.69,88,484.20,0.00,0.00
520.90,884,96202,0,0,184.68,88,484.20,0.00,0.00
530.99,884,98062,0,0,184.68,88,484.20,0.00,0.00
541.11,884,99922,0,0,184.66,88,484.20,0.00,0.00
551.12,884,101752,0,0,184.63,88,484.20,0.00,0.00
561.17,884,103612,0,0,184.64,88,484.20,0.00,0.00
571.24,884,105472,0,0,184.64,88,484.20,0.00,0.00
581.33,884,107332,0,0,184.63,88,484.20,0.00,0.00
591.47,884,109192,0,0,184.61,88,484.20,0.00,0.00
621.52,884,114742,0,0,184.61,88,484.20,0.00,0.00
651.65,884,120292,0,0,184.60,88,484.20,0.00,0.00
681.79,884,125872,0,0,184.62,88,484.20,0.00,0.00
711.92,885,131452,0,0,184.64,89,686.33,0.00,0.00
742.05,885,137002,0,0,184.63,89,686.33,0.00,0.00
772.20,885,142582,0,0,184.64,89,686.33,0.00,0.00
802.21,885,148132,0,0,184.65,89,686.33,0.00,0.00
832.26,885,153682,0,0,184.66,89,686.33,0.00,0.00
862.42,885,159232,0,0,184.63,89,686.33,0.00,0.00
892.48,885,164782,0,0,184.63,89,686.33,0.00,0.00
922.50,885,170332,0,0,184.64,89,686.33,0.00,0.00
952.53,885,175852,0,0,184.62,89,686.33,0.00,0.00
982.61,886,181402,0,0,184.61,90,953.92,0.00,0.00
1012.72,886,186952,0,0,184.60,90,953.92,0.00,0.00
1042.87,886,192472,0,0,184.56,90,953.92,0.00,0.00
1073.00,886,198052,0,0,184.58,90,953.92,0.00,0.00
1103.04,886,203602,0,0,184.58,90,953.92,0.00,0.00
1133.07,887,209152,0,0,184.59,91,1106.49,0.00,0.00
1163.14,887,214702,0,0,184.59,91,1106.49,0.00,0.00
1193.20,887,220312,0,0,184.64,91,1106.49,0.00,0.00
1223.20,887,225862,0,0,184.65,91,1106.49,0.00,0.00
1253.24,887,231442,0,0,184.67,91,1106.49,0.00,0.00
1283.40,887,236992,0,0,184.66,91,1106.49,0.00,0.00
1313.41,887,242512,0,0,184.64,91,1106.49,0.00,0.00
1343.57,887,248062,0,0,184.63,91,1106.49,0.00,0.00
1373.63,890,253612,0,0,184.63,94,1370.13,0.00,0.00
1403.76,890,259132,0,0,184.60,94,1370.13,0.00,0.00
1433.83,890,264622,0,0,184.56,94,1370.13,0.00,0.00
1463.98,890,270172,0,0,184.55,94,1370.13,0.00,0.00
1494.07,890,275722,0,0,184.54,94,1370.13,0.00,0.00
1524.13,890,281272,0,0,184.55,94,1370.13,0.00,0.00
1554.18,890,286822,0,0,184.55,94,1370.13,0.00,0.00
1584.33,890,292372,0,0,184.54,94,1370.13,0.00,0.00
1614.38,890,297952,0,0,184.56,94,1370.13,0.00,0.00
1644.41,890,303472,0,0,184.55,94,1370.13,0.00,0.00
1674.51,890,308992,0,0,184.53,94,1370.13,0.00,0.00
1704.63,890,314542,0,0,184.52,94,1370.13,0.00,0.00
1734.65,890,320062,0,0,184.51,94,1370.13,0.00,0.00
1764.72,892,325582,0,0,184.49,95,1740.06,0.00,0.00
1794.86,892,331102,0,0,184.47,95,1740.06,0.00,0.00
1825.01,892,336622,0,0,184.45,95,1740.06,0.00,0.00
1855.09,892,342172,0,0,184.45,95,1740.06,0.00,0.00
1885.18,892,347932,0,0,184.56,95,1740.06,0.00,0.00
1915.30,892,353812,0,0,184.73,95,1740.06,0.00,0.00
1945.44,892,359692,0,0,184.89,95,1740.06,0.00,0.00
1975.58,892,365602,0,0,185.06,95,1740.06,0.00,0.00
2005.63,892,371242,0,0,185.10,95,1740.06,0.00,0.00
2035.72,892,376762,0,0,185.08,95,1740.06,0.00,0.00
2065.80,892,382282,0,0,185.05,95,1740.06,0.00,0.00
2095.95,892,387802,0,0,185.02,95,1740.06,0.00,0.00
2125.98,892,393292,0,0,184.99,95,1740.06,0.00,0.00
2156.07,892,398842,0,0,184.99,95,1740.06,0.00,0.00
2186.16,892,404332,0,0,184.95,95,1740.06,0.00,0.00
2216.19,892,409852,0,0,184.94,95,1740.06,0.00,0.00
2246.33,892,415342,0,0,184.90,95,1740.06,0.00,0.00
2276.42,892,420832,0,0,184.87,95,1740.06,0.00,0.00
2306.57,892,426352,0,0,184.84,95,1740.06,0.00,0.00
2336.71,892,431872,0,0,184.82,95,1740.06,0.00,0.00
2366.83,892,437362,0,0,184.79,95,1740.06,0.00,0.00
2396.90,892,442912,0,0,184.79,95,1740.06,0.00,0.00
2427.03,892,448462,0,0,184.78,95,1740.06,0.00,0.00
2457.16,892,453982,0,0,184.76,95,1740.06,0.00,0.00
2487.23,892,459502,0,0,184.74,95,1740.06,0.00,0.00
2517.24,892,465022,0,0,184.73,95,1740.06,0.00,0.00
2547.37,892,470542,0,0,184.72,95,1740.06,0.00,0.00
2577.54,892,476092,0,0,184.71,95,1740.06,0.00,0.00
2607.58,892,481582,0,0,184.69,95,1740.06,0.00,0.00
2637.72,892,487132,0,0,184.68,95,1740.06,0.00,0.00
2667.76,892,492592,0,0,184.65,95,1740.06,0.00,0.00
2697.85,892,498082,0,0,184.62,95,1740.06,0.00,0.00
2727.87,892,503602,0,0,184.61,95,1740.06,0.00,0.00
2757.90,892,509122,0,0,184.60,95,1740.06,0.00,0.00
2788.04,892,514672,0,0,184.60,95,1740.06,0.00,0.00
2818.07,892,520192,0,0,184.59,95,1740.06,0.00,0.00
2848.19,892,525712,0,0,184.58,95,1740.06,0.00,0.00
2878.24,892,531172,0,0,184.55,95,1740.06,0.00,0.00
2908.40,892,536722,0,0,184.54,95,1740.06,0.00,0.00
2938.49,892,542272,0,0,184.54,95,1740.06,0.00,0.00
2968.65,909,547792,0,0,184.53,95,2967.50,0.00,0.00
2998.66,909,553312,0,0,184.52,95,2967.50,0.00,0.00
3028.83,909,558772,0,0,184.48,95,2967.50,0.00,0.00
3058.94,909,564278,0,0,184.47,95,2967.50,0.00,0.00
3088.99,909,569798,0,0,184.46,95,2967.50,0.00,0.00
3119.10,909,575318,0,0,184.45,95,2967.50,0.00,0.00
3149.20,909,580838,0,0,184.44,95,2967.50,0.00,0.00
3179.35,909,586358,0,0,184.43,95,2967.50,0.00,0.00
3209.49,909,591848,0,0,184.41,95,2967.50,0.00,0.00
3239.53,909,597278,0,0,184.37,95,2967.50,0.00,0.00
3269.64,909,602738,0,0,184.34,95,2967.50,0.00,0.00
3299.71,909,608228,0,0,184.33,95,2967.50,0.00,0.00
3329.77,909,613748,0,0,184.32,95,2967.50,0.00,0.00
3359.85,909,619268,0,0,184.31,95,2967.50,0.00,0.00
3389.96,909,624788,0,0,184.31,95,2967.50,0.00,0.00
3420.12,909,630338,0,0,184.30,95,2967.50,0.00,0.00
3450.23,909,635858,0,0,184.29,95,2967.50,0.00,0.00
3480.27,909,641348,0,0,184.28,95,2967.50,0.00,0.00
3510.31,910,646838,0,0,184.27,96,3481.76,0.00,0.00
3540.45,911,652358,0,0,184.26,97,3531.90,0.00,0.00
3570.51,911,657878,0,0,184.25,97,3531.90,0.00,0.00
3630.65,911,668978,0,0,184.26,97,3531.90,0.00,0.00
3690.72,911,680078,0,0,184.27,97,3531.90,0.00,0.00
3750.75,911,691178,0,0,184.28,97,3531.90,0.00,0.00
3810.78,911,702218,0,0,184.27,97,3531.90,0.00,0.00
3870.90,911,713318,0,0,184.28,97,3531.90,0.00,0.00
3930.93,911,724358,0,0,184.27,97,3531.90,0.00,0.00
3991.07,911,735428,0,0,184.27,97,3531.90,0.00,0.00
4051.10,911,746438,0,0,184.26,97,3531.90,0.00,0.00
4111.20,911,757448,0,0,184.24,97,3531.90,0.00,0.00
4171.34,911,768578,0,0,184.25,97,3531.90,0.00,0.00
4231.45,911,779678,0,0,184.26,97,3531.90,0.00,0.00
4291.51,911,790718,0,0,184.25,97,3531.90,0.00,0.00
4351.52,911,801788,0,0,184.25,97,3531.90,0.00,0.00
4411.67,911,812858,0,0,184.25,97,3531.90,0.00,0.00
4471.74,911,823928,0,0,184.25,97,3531.90,0.00,0.00
4531.86,911,835028,0,0,184.26,97,3531.90,0.00,0.00
4591.91,911,846068,0,0,184.25,97,3531.90,0.00,0.00
