elapsed_time,unique_edges,total_execs,crash_count,hang_count,exec_speed,queue_size,last_new_find,last_crash,last_hang
0.00,0,0,0,0,0.00,0,0.00,0.00,0.00
10.12,155,1167,0,0,115.29,676,2.21,0.00,0.00
20.17,181,2319,0,0,114.99,678,19.12,0.00,0.00
30.29,191,3487,0,0,115.13,680,30.23,0.00,0.00
40.42,208,4671,0,0,115.57,683,38.88,0.00,0.00
50.54,210,5759,0,0,113.94,685,48.53,0.00,0.00
60.67,222,6895,0,0,113.65,688,56.82,0.00,0.00
70.72,242,7939,0,0,112.26,694,70.56,0.00,0.00
80.74,284,9011,0,0,111.61,703,80.70,0.00,0.00
90.84,293,10179,0,0,112.06,706,88.37,0.00,0.00
100.84,295,11283,0,0,111.89,708,97.83,0.00,0.00
110.92,295,12323,0,0,111.10,708,97.83,0.00,0.00
121.06,303,13395,0,0,110.65,713,117.81,0.00,0.00
131.12,323,14419,0,0,109.97,719,131.05,0.00,0.00
141.45,391,15621,0,0,110.43,722,138.39,0.00,0.00
151.65,421,16761,0,0,110.53,726,149.38,0.00,0.00
161.67,424,17888,0,0,110.65,728,154.82,0.00,0.00
171.68,424,18976,0,0,110.53,728,154.82,0.00,0.00
181.78,424,20112,0,0,110.64,728,154.82,0.00,0.00
191.81,424,21216,0,0,110.61,728,154.82,0.00,0.00
201.83,424,22352,0,0,110.75,728,154.82,0.00,0.00
211.88,424,23392,0,0,110.40,728,154.82,0.00,0.00
221.99,424,24512,0,0,110.42,728,154.82,0.00,0.00
232.03,424,25664,0,0,110.61,728,154.82,0.00,0.00
242.03,424,26800,0,0,110.73,728,154.82,0.00,0.00
252.11,434,28000,0,0,111.06,729,247.03,0.00,0.00
262.23,434,29200,0,0,111.35,729,247.03,0.00,0.00
272.34,434,30400,0,0,111.63,729,247.03,0.00,0.00
282.45,434,31584,0,0,111.82,729,247.03,0.00,0.00
292.52,434,32640,0,0,111.58,729,247.03,0.00,0.00
302.66,434,33712,0,0,111.39,729,247.03,0.00,0.00
312.79,437,34816,0,0,111.31,730,305.19,0.00,0.00
322.89,437,35984,0,0,111.44,730,305.19,0.00,0.00
333.05,437,37136,0,0,111.50,730,305.19,0.00,0.00
343.17,437,38224,0,0,111.39,730,305.19,0.00,0.00
353.26,437,39280,0,0,111.19,730,305.19,0.00,0.00
363.31,437,40384,0,0,111.16,730,305.19,0.00,0.00
373.37,442,41552,0,0,111.29,731,364.01,0.00,0.00
383.38,442,42640,0,0,111.22,731,364.01,0.00,0.00
393.50,444,43760,0,0,111.21,732,385.53,0.00,0.00
