elapsed_time,unique_edges,total_execs,crash_count,hang_count,exec_speed,queue_size,last_new_find,last_crash,last_hang
0.00,0,0,0,0,0.00,0,0.00,0.00,0.00
14.33,4530,2078,0,0,145.02,943,14.14,0.00,0.00
33.25,5154,5061,0,0,152.20,1005,32.27,0.00,0.00
43.25,5397,6316,0,0,146.03,1036,41.61,0.00,0.00
53.25,5397,6316,0,0,118.61,1036,41.61,0.00,0.00
63.25,5397,6316,0,0,99.85,1036,41.61,0.00,0.00
73.25,5397,6316,0,0,86.22,1036,41.61,0.00,0.00
83.25,5397,6316,0,0,75.87,1036,41.61,0.00,0.00
93.25,5397,6316,0,0,67.73,1036,41.61,0.00,0.00
103.25,5397,6316,0,0,61.17,1036,41.61,0.00,0.00
113.25,5397,6316,0,0,55.77,1036,41.61,0.00,0.00
123.25,5397,6316,0,0,51.24,1036,41.61,0.00,0.00
133.25,5397,6316,0,0,47.40,1036,41.61,0.00,0.00
143.25,5397,6316,0,0,44.09,1036,41.61,0.00,0.00
153.25,5397,6316,0,0,41.21,1036,41.61,0.00,0.00
163.25,5397,6316,0,0,38.69,1036,41.61,0.00,0.00
173.25,5397,6316,0,0,36.46,1036,41.61,0.00,0.00
183.25,5397,6316,0,0,34.47,1036,41.61,0.00,0.00
193.25,5397,6316,0,0,32.68,1036,41.61,0.00,0.00
203.25,5397,6316,0,0,31.07,1036,41.61,0.00,0.00
213.25,5397,6316,0,0,29.62,1036,41.61,0.00,0.00
223.25,5397,6316,0,0,28.29,1036,41.61,0.00,0.00
233.25,5397,6316,0,0,27.08,1036,41.61,0.00,0.00
243.25,5397,6316,0,0,25.96,1036,41.61,0.00,0.00
253.25,5397,6316,0,0,24.94,1036,41.61,0.00,0.00
263.25,5397,6316,0,0,23.99,1036,41.61,0.00,0.00
273.25,5397,6316,0,0,23.11,1036,41.61,0.00,0.00
283.25,5397,6316,0,0,22.30,1036,41.61,0.00,0.00
293.25,5397,6316,0,0,21.54,1036,41.61,0.00,0.00
303.25,5397,6316,0,0,20.83,1036,41.61,0.00,0.00
313.25,5397,6316,0,0,20.16,1036,41.61,0.00,0.00
323.25,5397,6316,0,0,19.54,1036,41.61,0.00,0.00
333.25,5397,6316,0,0,18.95,1036,41.61,0.00,0.00
343.25,5397,6316,0,0,18.40,1036,41.61,0.00,0.00
353.25,5397,6316,0,0,17.88,1036,41.61,0.00,0.00
363.25,5397,6316,0,0,17.39,1036,41.61,0.00,0.00
373.25,5397,6316,0,0,16.92,1036,41.61,0.00,0.00
383.25,5397,6316,0,0,16.48,1036,41.61,0.00,0.00
393.25,5397,6316,0,0,16.06,1036,41.61,0.00,0.00
403.25,5397,6316,0,0,15.66,1036,41.61,0.00,0.00
413.25,5397,6316,0,0,15.28,1036,41.61,0.00,0.00
423.25,5397,6316,0,0,14.92,1036,41.61,0.00,0.00
433.25,5397,6316,0,0,14.58,1036,41.61,0.00,0.00
443.25,5397,6316,0,0,14.25,1036,41.61,0.00,0.00
453.25,5397,6316,0,0,13.93,1036,41.61,0.00,0.00
463.25,5397,6316,0,0,13.63,1036,41.61,0.00,0.00
473.25,5397,6316,0,0,13.35,1036,41.61,0.00,0.00
483.25,5397,6316,0,0,13.07,1036,41.61,0.00,0.00
493.25,5397,6316,0,0,12.80,1036,41.61,0.00,0.00
503.25,5397,6316,0,0,12.55,1036,41.61,0.00,0.00
513.25,5397,6316,0,0,12.31,1036,41.61,0.00,0.00
523.25,5397,6316,0,0,12.07,1036,41.61,0.00,0.00
533.25,5397,6316,0,0,11.84,1036,41.61,0.00,0.00
543.25,5397,6316,0,0,11.63,1036,41.61,0.00,0.00
553.25,5397,6316,0,0,11.42,1036,41.61,0.00,0.00
563.25,5397,6316,0,0,11.21,1036,41.61,0.00,0.00
573.25,5397,6316,0,0,11.02,1036,41.61,0.00,0.00
583.25,5397,6316,0,0,10.83,1036,41.61,0.00,0.00
593.25,5397,6316,0,0,10.65,1036,41.61,0.00,0.00
623.25,5397,6316,0,0,10.13,1036,41.61,0.00,0.00
653.25,5397,6316,0,0,9.67,1036,41.61,0.00,0.00
683.25,5397,6316,0,0,9.24,1036,41.61,0.00,0.00
713.25,5397,6316,0,0,8.86,1036,41.61,0.00,0.00
743.25,5397,6316,0,0,8.50,1036,41.61,0.00,0.00
773.25,5397,6316,0,0,8.17,1036,41.61,0.00,0.00
803.25,5397,6316,0,0,7.86,1036,41.61,0.00,0.00
833.25,5397,6316,0,0,7.58,1036,41.61,0.00,0.00
863.25,5397,6316,0,0,7.32,1036,41.61,0.00,0.00
893.25,5397,6316,0,0,7.07,1036,41.61,0.00,0.00
923.25,5397,6316,0,0,6.84,1036,41.61,0.00,0.00
953.25,5397,6316,0,0,6.63,1036,41.61,0.00,0.00
983.25,5397,6316,0,0,6.42,1036,41.61,0.00,0.00
1013.25,5397,6316,0,0,6.23,1036,41.61,0.00,0.00
1043.25,5397,6316,0,0,6.05,1036,41.61,0.00,0.00
1073.25,5397,6316,0,0,5.88,1036,41.61,0.00,0.00
1103.25,5397,6316,0,0,5.72,1036,41.61,0.00,0.00
1133.25,5397,6316,0,0,5.57,1036,41.61,0.00,0.00
1163.25,5397,6316,0,0,5.43,1036,41.61,0.00,0.00
1193.25,5397,6316,0,0,5.29,1036,41.61,0.00,0.00
1223.25,5397,6316,0,0,5.16,1036,41.61,0.00,0.00
1253.25,5397,6316,0,0,5.04,1036,41.61,0.00,0.00
1283.25,5397,6316,0,0,4.92,1036,41.61,0.00,0.00
1313.25,5397,6316,0,0,4.81,1036,41.61,0.00,0.00
1343.25,5397,6316,0,0,4.70,1036,41.61,0.00,0.00
1373.25,5397,6316,0,0,4.60,1036,41.61,0.00,0.00
1403.25,5397,6316,0,0,4.50,1036,41.61,0.00,0.00
1433.25,5397,6316,0,0,4.41,1036,41.61,0.00,0.00
